Step,PC,Prediction,Actual,Accuracy,Source
320,2000,1,1,0.8006230529595015,loop
321,2000,1,1,0.8012422360248447,loop
322,2000,1,1,0.8018575851393189,loop
323,2000,-1,1,0.7993827160493827,loop
324,2000,-1,-1,0.8,loop
325,3001,1,1,0.8006134969325154,perceptron
326,3002,1,1,0.8012232415902141,perceptron
327,3000,1,1,0.801829268292683,perceptron
328,3001,1,1,0.8024316109422492,perceptron
329,3002,1,1,0.803030303030303,perceptron
330,3000,1,1,0.8036253776435045,perceptron
331,3001,1,1,0.8042168674698795,perceptron
332,3002,1,1,0.8048048048048048,perceptron
333,3000,1,1,0.8053892215568862,perceptron
334,3001,1,1,0.8059701492537313,perceptron
335,4712,-1,1,0.8035714285714286,perceptron
336,4243,1,1,0.8041543026706232,perceptron
337,4037,1,-1,0.8017751479289941,perceptron
338,4539,1,1,0.8023598820058997,perceptron
339,4717,1,1,0.8029411764705883,perceptron
340,4217,-1,-1,0.8035190615835777,perceptron
341,4111,1,-1,0.8011695906432749,perceptron
342,4899,1,1,0.8017492711370262,perceptron
343,4964,-1,1,0.7994186046511628,perceptron
344,4542,-1,1,0.7971014492753623,perceptron
345,4112,1,-1,0.7947976878612717,perceptron
346,4137,1,-1,0.792507204610951,perceptron
347,4101,1,1,0.7931034482758621,perceptron
348,4549,-1,1,0.7908309455587392,perceptron
349,4124,1,1,0.7914285714285715,perceptron
350,1000,-1,-1,0.792022792022792,perceptron
351,1001,-1,-1,0.7926136363636364,perceptron
352,1002,-1,-1,0.7932011331444759,perceptron
353,1003,-1,-1,0.7937853107344632,perceptron
354,1004,-1,-1,0.7943661971830986,perceptron
355,1000,-1,-1,0.7949438202247191,perceptron
356,1001,-1,-1,0.7955182072829131,perceptron
357,1002,-1,-1,0.7960893854748603,perceptron
358,1003,-1,-1,0.7966573816155988,perceptron
359,1004,-1,-1,0.7972222222222223,perceptron
360,2000,1,1,0.7977839335180056,loop
361,2000,1,1,0.7983425414364641,loop
362,2000,1,1,0.7988980716253443,loop
363,2000,-1,1,0.7967032967032966,loop
364,2000,-1,-1,0.7972602739726027,loop
365,2000,1,1,0.7978142076502732,loop
366,2000,1,1,0.7983651226158038,loop
367,2000,1,1,0.7989130434782609,loop
368,2000,-1,1,0.7967479674796748,loop
369,2000,-1,-1,0.7972972972972973,loop
370,2000,1,1,0.7978436657681941,loop
371,2000,1,1,0.7983870967741935,loop
372,2000,1,1,0.7989276139410187,loop
373,2000,-1,1,0.7967914438502673,loop
374,2000,-1,-1,0.7973333333333333,loop
375,3000,1,1,0.7978723404255319,perceptron
376,3001,1,1,0.7984084880636605,perceptron
377,3002,1,1,0.798941798941799,perceptron
378,3000,1,1,0.7994722955145118,perceptron
379,3001,1,1,0.8,perceptron
380,3002,1,1,0.800524934383202,perceptron
381,3000,1,1,0.8010471204188482,perceptron
382,3001,1,1,0.8015665796344648,perceptron
383,3002,1,1,0.8020833333333334,perceptron
384,3000,1,1,0.8025974025974026,perceptron
385,4454,-1,1,0.8005181347150259,perceptron
386,4349,1,1,0.8010335917312662,perceptron
387,4256,1,1,0.8015463917525774,perceptron
388,4380,1,-1,0.7994858611825193,perceptron
389,4584,-1,1,0.7974358974358975,perceptron
390,4327,1,1,0.7979539641943734,perceptron
391,4099,1,1,0.798469387755102,perceptron
392,4732,1,1,0.7989821882951654,perceptron
393,4866,1,-1,0.7969543147208121,perceptron
394,4405,-1,1,0.7949367088607595,perceptron
395,4562,1,1,0.7954545454545454,perceptron
396,4363,-1,-1,0.7959697732997482,perceptron
397,4066,1,1,0.7964824120603015,perceptron
398,4061,1,1,0.7969924812030075,perceptron
399,4867,1,-1,0.795,perceptron
