Step,PC,Prediction,Actual,Accuracy,Source
273,1003,-1,-1,0.7627737226277372,perceptron
274,1004,-1,-1,0.7636363636363637,perceptron
275,1000,1,-1,0.7608695652173914,loop
276,1001,-1,-1,0.7617328519855595,perceptron
277,1002,-1,-1,0.762589928057554,perceptron
278,1003,-1,-1,0.7634408602150538,perceptron
279,1004,-1,-1,0.7642857142857142,perceptron
280,1000,1,-1,0.7615658362989324,loop
281,1001,-1,-1,0.7624113475177305,perceptron
282,1002,-1,-1,0.7632508833922261,perceptron
283,1003,-1,-1,0.7640845070422535,perceptron
284,1004,-1,-1,0.7649122807017544,perceptron
285,2000,1,1,0.7657342657342657,loop
286,2000,1,1,0.7665505226480837,loop
287,2000,1,1,0.7673611111111112,loop
288,2000,-1,1,0.7647058823529411,loop
289,2000,-1,-1,0.7655172413793103,loop
290,2000,1,1,0.7663230240549829,loop
291,2000,1,1,0.7671232876712328,loop
292,2000,1,1,0.7679180887372014,loop
293,2000,-1,1,0.7653061224489796,loop
294,2000,-1,-1,0.7661016949152543,loop
295,2000,1,1,0.7668918918918919,loop
296,2000,1,1,0.7676767676767676,loop
297,2000,1,1,0.7684563758389261,loop
298,2000,-1,1,0.7658862876254181,loop
299,2000,-1,-1,0.7666666666666667,loop
300,2000,1,1,0.7674418604651163,loop
301,2000,1,1,0.7682119205298014,loop
302,2000,1,1,0.768976897689769,loop
303,2000,-1,1,0.7664473684210527,loop
304,2000,-1,-1,0.7672131147540984,loop
305,2000,1,1,0.7679738562091504,loop
306,2000,1,1,0.7687296416938111,loop
307,2000,1,1,0.7694805194805194,loop
308,2000,-1,1,0.7669902912621359,loop
309,2000,-1,-1,0.7677419354838709,loop
310,3000,1,1,0.7684887459807074,perceptron
311,3001,1,1,0.7692307692307693,perceptron
312,3002,1,1,0.7699680511182109,perceptron
313,3000,1,1,0.7707006369426752,perceptron
314,3001,1,1,0.7714285714285715,perceptron
315,3002,1,1,0.7721518987341772,perceptron
316,3000,1,1,0.7728706624605678,perceptron
317,3001,1,1,0.7735849056603774,perceptron
